id,estado
187,3.74E-06
188,6.64E-06
189,1
190,1
191,9.69E-06
192,8.11E-05
193,0.999999987
194,0.003494108
195,8.62E-05
196,1
197,0.999999789
198,0.00134154
199,2.46E-06
200,1
201,0.999999996
202,0.999998354
203,2.20E-06
204,2.24E-06
205,1
206,1
207,1
208,5.28E-06
209,0.002235177
210,0.117176554
211,0.994313245
212,0.003978237
213,0.000997613
214,0.993514466
215,0.992718637
216,0.997062688
217,0.999999358
218,0.99999568
219,0.002887426
220,2.62E-06
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,6.63E-06
229,1.26E-06
230,1
231,1
232,3.50E-06
233,3.84E-06
234,1
235,1
236,1
237,7.95E-05
238,9.95E-05
239,1
240,1
241,0.002118241
242,0.000124056
243,1
244,0.003293978
245,0.000222673
246,1
247,0.999999981
248,1
249,0.004278262
250,0.001076773
251,0.997983839
252,0.998179903
253,0.999648112
254,0.982251812
255,0.001933175
256,2.06E-05
257,0.999977152
258,0.999980105
259,1
260,1
261,1
262,5.39E-05
263,9.03E-05
264,0.999996371
265,1
266,1
267,0.000299883
268,2.39E-05
269,1
270,0.999999983
271,1
272,2.74E-05
273,7.55E-06
274,0.99999999
275,1
276,1
277,0.999887166
278,8.41E-07
279,1.65E-08
280,1
281,2.50E-09
282,7.54E-07
283,1
284,2.98E-06
285,1.81E-06
286,0.999999995
287,0.999999991
288,1
289,7.13E-05
290,0.002110454
291,0.083231099
292,0.002174603
293,1
294,1
295,1
296,1
297,1
298,0.052990032
299,3.96E-06
300,0.999999431
301,0.01918053
302,6.01E-06
303,7.83E-05
304,0.999999814
305,0.999999978
306,0.999999966
307,0.999999972
308,0.986457917
309,9.30E-05
310,0.000541102
311,0.977222738
312,0.976552793
313,0.966632026
314,0.999499633
315,0.823768285
316,0.985610382
317,0.004090077
318,0.000116965
319,0.114251224
320,1
321,0.999999846
322,0.000492134
323,0.001095108
324,0.99999999
325,0.001804891
326,2.97E-07
327,3.34E-08
328,0.983082885
329,0.999997274
330,0.999999987
331,0.999999991
332,1
333,0.998653298
334,5.64E-09
335,1.21E-08
336,0.000122496
337,0.022897055
338,1
339,1
340,0.000373946
341,0.000119742
342,0.000199292
343,0.163306019
344,0.999942397
345,0.000258248
346,0.000258287
347,0.000176055
348,0.068701823
349,0.965528738
350,0.033875977
351,0.000162449
352,0.000165146
353,0.980650344
354,0.019527238
355,7.71E-05
356,0.00046018
357,2.82E-05
358,5.85E-05
359,1.72E-05
360,1.18E-06
361,0.999999999
362,0.950592446
363,7.56E-06
364,0.003603272
365,0.004004496
366,0.99998674
367,0.074553539
368,0.00554104
369,0.001587197
370,1
371,0.999999998
372,1
373,0.999959736
374,0.037689602
375,0.000496939
376,0.010134171
377,0.212406314
378,0.197770364
379,0.948615454
380,0.000637374
381,0.001233676
382,0.04806968
383,0.011594273
384,0.000819111
385,0.001434894
386,0.583789465
387,0.969576332
388,0.214176041
389,0.536592349
390,0.999998798
391,0.00342907
392,0.00277144
393,0.893680612
394,0.995731921
395,1
396,0.001872904
397,0.000256874
398,1
399,1
400,0.000212545
401,4.46E-05
402,1
403,1
404,0.999999825
405,1
406,1.09E-05
407,0.000408299
408,1
409,1
410,0.000526986
411,0.001845805
412,0.99999997
413,1
414,0.003086193
415,7.21E-10
416,1.54E-05
417,9.93E-06
418,0.993595609
419,1
420,1
421,1.90E-06
422,1.79E-07
423,1
424,1
425,1
426,0.517010553
427,0.999999756
428,9.65E-07
429,0.000790212
430,1
431,1
432,1
433,0.001020052
434,0.005291329
435,0.001522315
436,0.00186159
437,0.387737921
438,0.955509844
439,0.908713681
440,0.866739797
441,0.813437546
442,0.998230537
443,1
444,0.997998543
445,0.039040669
446,0.000123591
447,0.000141614
448,0.009048678
449,0.013701904
450,0.007010865
451,0.005501814
452,0.020524035
453,0.997282524
454,0.999999912
455,0.013371092
456,0.058687215
457,0.050188202
458,0.0011238
459,1.65E-05
460,0.017911636
461,6.77E-05
462,0.000150594
463,1.19E-06
464,1.58E-05
465,0.600529727
466,0.995342984
467,0.993376747
468,0.611495266
469,0.498649297
470,0.925675426
471,0.998838341
472,0.99997781
473,0.001322427
474,0.002396493
475,0.001370189
476,1
477,1
478,0.001652948
479,5.82E-05
480,0.030410229
481,0.999982854
482,0.999979413
483,1
484,9.81E-05
485,7.43E-06
486,0.999999997
487,0.999999987
488,6.31E-06
489,1.42E-05
490,2.28E-05
491,0.189505962
492,0.411077856
493,1
494,0.000225076
495,0.000126587
496,0.970566362
497,0.999999962
498,1
499,0.999999773
500,0.000115159
501,4.78E-05
502,1
503,1
504,1
505,0.99999991
506,0.001255518
507,0.004469732
508,1
509,0.097722839
510,0.001638239
511,1.65E-06
512,1.33E-06
513,1.67E-06
514,0.000135027
515,0.009787088
516,0.009307085
517,0.999999999
518,0.000136478
519,0.000153176
520,0.008396018
521,0.003020339
522,0.000131868
523,0.000155056
524,3.32E-05
525,0.997999321
526,2.17E-05
527,5.43E-05
528,0.955070321
529,0.999999988
530,0.009547608
531,0.999999998
532,0.00011251
533,6.35E-05
534,2.22E-05
535,0.47523228
536,0.999999717
537,4.48E-05
538,6.55E-05
539,1
540,1
541,6.10E-05
542,0.002183057
543,0.004843443
544,1
545,0.998189579
546,0.045474731
547,0.000414535
548,0.000613424
549,0.998203408
550,0.997837538
551,0.911675301
552,0.000527151
553,0.000227366
554,0.087833926
555,0.947669911
556,0.947837342
557,0.964088877
558,1
559,0.933705974
560,0.000225374
561,1.18E-05
562,1
563,1
564,1
565,3.42E-08
566,1.36E-10
567,0.999988317
568,1
569,2.56E-10
570,9.90E-06
571,0.018894453
572,1
573,6.75E-06
574,2.80E-06
575,0.999999968
576,0.000355356
577,6.43E-06
578,5.50E-06
579,0.001368865
580,1
581,0.789772522
582,1
583,1.12E-05
584,1.17E-05
585,0.003666247
586,0.994127212
587,0.999999999
588,0.154853841
